claim_arm,system,leisure,cec,prob_ruin,mean_retirement_consumption,n_paths,cec_survival_weighted,retire_age,working_years,retired_years,claim_factor,mean_benefit
actuarial,us,1.4,0.522713522269459,0.0996,2.017560094834387,100000,0.5205465531605786,65,40,28,1.1638080752999713,0.7668024674276824
actuarial,us,1.5,0.48801512616252507,0.0996,2.017560094834387,100000,0.485943537754,65,40,28,1.1638080752999713,0.7668024674276824
actuarial,us,1.75,0.41848418477740695,0.0996,2.017560094834387,100000,0.4166474224601721,65,40,28,1.1638080752999713,0.7668024674276824
actuarial,us,2.0,0.3662525716764506,0.0996,2.017560094834387,100000,0.3646193791093335,65,40,28,1.1638080752999713,0.7668024674276824
actuarial,us,1.0,0.7004127997882004,0.08261,2.357237941866144,100000,0.6996441233813822,67,42,26,1.3661461143788665,0.8958784828238212
actuarial,us,1.05,0.6673007070938769,0.08261,2.357237941866144,100000,0.6664877502025206,67,42,26,1.3661461143788665,0.8958784828238212
actuarial,us,1.1,0.6371503206955733,0.08261,2.357237941866144,100000,0.6363133226353017,67,42,26,1.3661461143788665,0.8958784828238212
actuarial,us,1.15,0.6095865591370434,0.08261,2.357237941866144,100000,0.6087393849330461,67,42,26,1.3661461143788665,0.8958784828238212
actuarial,us,1.2,0.5842939420406613,0.08261,2.357237941866144,100000,0.5834461065880239,67,42,26,1.3661461143788665,0.8958784828238212
actuarial,us,1.25,0.5610054998008498,0.08261,2.357237941866144,100000,0.5601635156128548,67,42,26,1.3661461143788665,0.8958784828238212
actuarial,us,1.3,0.5394939865871176,0.08261,2.357237941866144,100000,0.5386622740575248,67,42,26,1.3661461143788665,0.8958784828238212
actuarial,us,1.4,0.5010507996762148,0.08261,2.357237941866144,100000,0.5002474454350093,67,42,26,1.3661461143788665,0.8958784828238212
actuarial,us,1.5,0.46770753833162526,0.08261,2.357237941866144,100000,0.4669374600114347,67,42,26,1.3661461143788665,0.8958784828238212
actuarial,us,1.75,0.4009668643399195,0.08261,2.357237941866144,100000,0.4002815906841665,67,42,26,1.3661461143788665,0.8958784828238212
actuarial,us,2.0,0.3508777469240241,0.08261,2.357237941866144,100000,0.35026741549669105,67,42,26,1.3661461143788665,0.8958784828238212
actuarial,us,1.0,0.6491223711126378,0.05651,2.9832764687758457,100000,0.6519729267206943,70,45,23,1.771036874236366,1.148896323083395
actuarial,us,1.05,0.6182670101317809,0.05651,2.9832764687758457,100000,0.6209626008294685,70,45,23,1.771036874236366,1.148896323083395
actuarial,us,1.1,0.5902055160221522,0.05651,2.9832764687758457,100000,0.5927641124480145,70,45,23,1.771036874236366,1.148896323083395
actuarial,us,1.15,0.5645760731025823,0.05651,2.9832764687758457,100000,0.567012398347241,70,45,23,1.771036874236366,1.148896323083395
actuarial,us,1.2,0.5410764880581675,0.05651,2.9832764687758457,100000,0.5434027947610366,70,45,23,1.771036874236366,1.148896323083395
actuarial,us,1.25,0.5194524612353723,0.05651,2.9832764687758457,100000,0.5216790855347266,70,45,23,1.771036874236366,1.148896323083395
actuarial,us,1.3,0.49948850343877504,0.05651,2.9832764687758457,100000,0.5016242683613655,70,45,23,1.771036874236366,1.148896323083395
actuarial,us,1.4,0.4638317693592618,0.05651,2.9832764687758457,100000,0.46580765685213016,70,45,23,1.771036874236366,1.148896323083395
actuarial,us,1.5,0.4329233635563121,0.05651,2.9832764687758457,100000,0.4347627468018934,70,45,23,1.771036874236366,1.148896323083395
actuarial,us,1.75,0.3710941921219011,0.05651,2.9832764687758457,100000,0.3726648732732868,70,45,23,1.771036874236366,1.148896323083395
actuarial,us,2.0,0.32471464879734074,0.05651,2.9832764687758457,100000,0.3260864744494995,70,45,23,1.771036874236366,1.148896323083395
